Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-01-02,301.19488525390625,301.21344584893905,299.02541765431675,299.961822308594,59151200
2020-01-03,298.91424560546875,300.05461904887477,297.6997146432644,297.7553398557625,77709700
2020-01-06,300.0546569824219,300.1380948117174,297.0136607488899,297.1341914890727,55653900
2020-01-07,299.21087646484375,299.96184498710954,298.75656625604176,299.4797221772456,40496400
2020-01-08,300.8055419921875,302.0386050732806,299.15526158717347,299.40557500537017,68296000
2020-01-09,302.8451843261719,302.9193701237404,301.7975292108521,302.39090241703354,48473300
2020-01-10,301.9737854003906,303.59625366453525,301.50097103163154,303.4386583061493,53029300
2020-01-13,304.0504150390625,304.0596670421041,302.16835390657394,302.6041034443219,47086800
2020-01-14,303.5869140625,304.67163383027827,303.0213534323649,303.6054463659038,62832800
2020-01-15,304.2729187011719,305.0424194018251,303.4106999141106,303.4941377038016,72056600
2020-01-16,306.8041076660156,306.8041076660156,305.4412332719462,305.67301443900834,54050300
2020-01-17,307.75897216796875,307.97219268334277,306.7391296153337,307.527191055715,95846000
2020-01-21,307.1563415527344,307.9722156557004,306.71133989191287,306.7854974041848,77742400
2020-01-22,307.1933898925781,308.6860748629666,307.03579459176376,308.02779617917,48914900
2020-01-23,307.54571533203125,307.9629326406357,305.4040601741914,306.5351531042118,51963000
2020-01-24,304.8106384277344,308.29663476393586,303.5033898016588,308.2131969742188,87578400
2020-01-27,299.9247741699219,301.4267113250342,299.145992989256,299.4890245254738,84062500
2020-01-28,303.0677185058594,303.95775003646014,300.01747120893106,301.37106495453526,63834000
2020-01-29,302.81732177734375,304.68085059698774,302.6133533080614,304.4490695316027,53888900
2020-01-30,303.8001403808594,304.01338919524386,299.9618597770934,300.7220803414687,75491800
2020-01-31,298.2838134765625,303.327373660985,297.3566888587436,303.1697500267727,113845600
2020-02-03,300.49957275390625,302.3909145575543,299.66516640610627,299.78569711180046,69083000
2020-02-04,305.07952880859375,305.96030823676443,303.8371856055245,304.1616847787236,62573200
2020-02-05,308.60260009765625,308.81584888560207,306.57222378456345,308.05560012188914,65951100
2020-02-06,309.64105224609375,309.8357404698621,308.5470238274841,309.5761467403061,50359700
2020-02-07,307.99072265625,309.6502548835903,307.4344423834342,308.56553523051,64139400
2020-02-10,310.28997802734375,310.35488352384476,307.0543230230456,307.09141592013054,42070000
2020-02-11,310.8277282714844,312.45944793843125,310.2899802874024,311.6621345536354,54864500
2020-02-12,312.83038330078125,313.0436038429177,311.9125107414064,312.28335490884035,43992700
2020-02-13,312.4965515136719,313.47930112523284,311.10586489803745,311.3839909037277,54501900
2020-02-14,312.99725341796875,313.1177841363206,311.69928470801807,312.9138156037858,64582200
2020-02-18,312.1906433105469,313.062142604704,310.78139596156376,311.9866747886464,57226200
2020-02-19,313.68328857421875,314.3693516254217,312.88597511402,313.17338143512364,48814700
2020-02-20,312.3946228027344,313.9614655274482,309.3629074710407,313.12703081262896,74163400
2020-02-21,309.177490234375,311.3376778826908,308.34305554467204,311.0224589460985,113788200
2020-02-24,298.9234924316406,309.2516446037945,297.82946402329435,299.5910232004645,161088400
2020-02-25,289.86541748046875,300.953816597268,288.97538604168346,300.33265913765354,218913200
2020-02-26,288.7992858886719,294.9275653405686,288.0575975954808,291.28397279381636,194773800
2020-02-27,275.8288879394531,288.8549791003873,275.8288879394531,283.1995125791698,284353500
2020-02-28,274.6698913574219,276.18110869798824,264.731116384143,267.6608329640057,384975800
2020-03-02,286.5648498535156,286.6297553457382,273.00101665842163,276.47773282420764,238703600
2020-03-03,278.3597412109375,290.9686351044078,275.8843356151388,286.94491975413547,300139100
2020-03-04,290.0600891113281,290.2826181785141,281.2245958409201,283.81128050835054,176613400
2020-03-05,280.4180603027344,285.9900874418258,278.1466223190575,282.75443208360537,186366800
2020-03-06,275.78240966796875,277.00622063787995,269.079318520246,271.7865058606779,228667200
2020-03-09,254.24534606933594,263.47949759504263,253.52219013588166,255.23734771974637,309417300
2020-03-10,267.4012145996094,267.4939043987404,253.56850699723532,263.89668572605297,276444100
2020-03-11,254.36578369140625,261.39340102044827,251.1394095609728,260.2437760584396,255316300
2020-03-12,230.02880859375,247.2269670352048,229.63013779196152,237.34381868984252,392220700
2020-03-13,249.69309997558594,251.69569167201877,230.40891350501764,243.91710593966738,329566100
2020-03-16,222.3707733154297,238.17823161878607,220.06222867092552,223.60383620910417,297240000
2020-03-17,234.3770751953125,237.50149436368383,219.79341084820192,227.1825800592429,262070500
2020-03-18,222.50985717773438,230.26988391983323,211.4029107680486,219.03314065933228,327597100
2020-03-19,222.98268127441406,229.35203543435006,215.29682632905443,221.81450963937905,289322000
2020-03-20,213.37342834472656,227.98689507054252,213.093652650611,226.17769504257595,347158800
2020-03-23,207.91786193847656,214.19409581010046,203.54407726275934,212.8045663726438,326025200
2020-03-24,226.75588989257812,227.64184863747488,218.03631124687172,218.61450391829229,235494500
2020-03-25,230.1505126953125,239.06595461415648,223.58518140857564,228.35996779892972,299430300
2020-03-26,243.58889770507812,245.08099675224295,232.2580891333931,232.69640105498817,257632800
2020-03-27,236.33343505859375,243.2251719122583,234.1232342411207,236.19355433469624,224341200
2020-03-30,244.00857543945312,244.73598379191057,236.43606067798095,238.4597494769956,171369500
2020-03-31,240.3715362548828,245.57529937673385,238.94469568437773,242.99207332581065,194881100
2020-04-01,229.55361938476562,240.28758024752457,227.45532299466728,231.26023548964358,189554600
2020-04-02,234.85067749023438,235.64335876050833,228.09882035351683,228.65837179252074,177660400
2020-04-03,231.45606994628906,236.24019000471637,228.68631772614506,233.85278317972373,135561200
2020-04-06,247.0021514892578,248.99787848320506,231.43746459643546,240.45547594101922,188061200
2020-04-07,247.2539825439453,256.48648310210905,247.03017331779944,255.72176363281355,201427200
2020-04-08,255.55384826660156,257.39102447097054,247.36583058306135,249.89310405019953,153774500
2020-04-09,259.4427490234375,262.24047804183556,256.8968053711056,258.86452778659265,189999200
2020-04-13,257.0740051269531,258.79927710047826,253.1105555612745,258.4542283977677,114839100
2020-04-14,264.6557922363281,265.6909380967998,256.93406289185134,262.0352555449032,134143400
2020-04-15,259.0323791503906,264.7956933412649,256.88743677523325,258.85518739235687,121775000
2020-04-16,260.281982421875,261.1492713218988,257.1671818160106,260.3285998406004,131798300
2020-04-17,267.31365966796875,267.92913492449776,263.35951716744296,266.1386045310239,146684800
2020-04-20,262.6041564941406,267.4535646306005,262.38034728967847,263.55537407307474,100109300
2020-04-21,254.63063049316406,259.2935118022099,253.6793844917386,258.0718391760374,126385700
2020-04-22,260.281982421875,262.05387123288057,258.2396385863591,259.58255038121786,92951600
2020-04-23,260.2633361816406,264.79567101343525,259.95559857835406,261.5782719519772,104709700
2020-04-24,263.89111328125,264.57190421689205,259.7224961366366,261.80215150389427,85063200
